Company,Ticker,Sector
3i,III.L,Unknown
Admiral Group,ADM.L,Financial Services
Airtel Africa,AAF.L,Communication Services
Alliance Witan,ALW.L,Unknown
Anglo American plc,AAL.L,Basic Materials
Antofagasta plc,ANTO.L,Basic Materials
Ashtead Group,AHT.L,Industrials
Associated British Foods,ABF.L,Consumer Defensive
AstraZeneca,AZN.L,Healthcare
Auto Trader Group,AUTO.L,Communication Services
Aviva,AV.L,Financial Services
Babcock International,BAB.L,Industrials
BAE Systems,BA.L,Industrials
Barclays,BARC.L,Financial Services
Barratt Redrow,BTRW.L,Consumer Cyclical
Beazley,BEZ.L,Financial Services
Berkeley Group Holdings,BKG.L,Consumer Cyclical
BP,BP.L,Energy
British American Tobacco,BATS.L,Consumer Defensive
BT Group,BT-A.L,Communication Services
Bunzl,BNZL.L,Consumer Defensive
Centrica,CNA.L,Utilities
Coca-Cola Europacific Partners,CCEP.L,Consumer Defensive
Coca-Cola HBC,CCH.L,Consumer Defensive
Compass Group,CPG.L,Consumer Cyclical
Convatec,CTEC.L,Healthcare
Croda International,CRDA.L,Basic Materials
DCC plc,DCC.L,Energy
Diageo,DGE.L,Consumer Defensive
Diploma,DPLM.L,Industrials
Endeavour Mining,EDV.L,Basic Materials
Entain,ENT.L,Consumer Cyclical
EasyJet,EZJ.L,Industrials
Experian,EXPN.L,Industrials
F & C Investment Trust,FCIT.L,Unknown
Fresnillo plc,FRES.L,Basic Materials
Games Workshop,GAW.L,Consumer Cyclical
Glencore,GLEN.L,Basic Materials
GSK plc,GSK.L,Healthcare
Haleon,HLN.L,Healthcare
Halma plc,HLMA.L,Industrials
Hikma Pharmaceuticals,HIK.L,Healthcare
Hiscox,HSX.L,Financial Services
Howdens Joinery,HWDN.L,Consumer Cyclical
HSBC,HSBA.L,Financial Services
IHG Hotels & Resorts,IHG.L,Consumer Cyclical
IMI,IMI.L,Industrials
Imperial Brands,IMB.L,Consumer Defensive
Informa,INF.L,Communication Services
Intermediate Capital Group,ICG.L,Financial Services
International Airlines Group,IAG.L,Industrials
Intertek,ITRK.L,Industrials
JD Sports,JD.L,Consumer Cyclical
Kingfisher plc,KGF.L,Consumer Cyclical
Land Securities,LAND.L,Real Estate
Legal & General,LGEN.L,Financial Services
Lloyds Banking Group,LLOY.L,Financial Services
LondonMetric Property,LMP.L,Real Estate
London Stock Exchange Group,LSEG.L,Financial Services
M&G,MNG.L,Financial Services
Marks & Spencer,MKS.L,Consumer Cyclical
Melrose Industries,MRO.L,Industrials
Mondi,MNDI.L,Basic Materials
National Grid plc,NG.L,Utilities
NatWest Group,NWG.L,Financial Services
Next plc,NXT.L,Consumer Cyclical
Pearson plc,PSON.L,Communication Services
Pershing Square Holdings,PSH.L,Unknown
Persimmon,PSN.L,Consumer Cyclical
Phoenix Group,PHNX.L,Financial Services
Polar Capital Technology Trust,PCT.L,Unknown
Prudential plc,PRU.L,Financial Services
Reckitt,RKT.L,Consumer Defensive
RELX,REL.L,Industrials
Rentokil Initial,RTO.L,Industrials
Rightmove,RMV.L,Communication Services
Rio Tinto,RIO.L,Basic Materials
Rolls-Royce Holdings,RR.L,Industrials
Sage Group,SGE.L,Technology
Sainsbury's,SBRY.L,Consumer Defensive
Schroders,SDR.L,Financial Services
Scottish Mortgage Investment Trust,SMT.L,Unknown
Segro,SGRO.L,Real Estate
Severn Trent,SVT.L,Utilities
Shell plc,SHEL.L,Energy
Smiths Group,SMIN.L,Industrials
Smith & Nephew,SN.L,Healthcare
Spirax Group,SPX.L,Industrials
SSE plc,SSE.L,Utilities
Standard Chartered,STAN.L,Financial Services
St. James's Place,STJ.L,Financial Services
Taylor Wimpey,TW.L,Consumer Cyclical
Tesco,TSCO.L,Consumer Defensive
Unilever,ULVR.L,Consumer Defensive
United Utilities,UU.L,Utilities
Unite Group,UTG.L,Real Estate
Vodafone Group,VOD.L,Communication Services
Weir Group,WEIR.L,Industrials
Whitbread,WTB.L,Consumer Cyclical
WPP,WPP.L,Communication Services
